Second,Throughput,Average Latency,Jitter,Packet Drop Rate
1,1,1.7101167440986274,0,0.999417690560764
2,3,2.282557091133811,0.2173209033469341,0.9995919533194597
4,1,4.717257850492496,2.274420914979867,0.9997892829298102
5,1,5.1054182707619145,0.38816042026941844,0.9998052087188577
6,2,6.702393073267892,0.4258807089153258,0.9998561337380771
7,1,7.770983527045946,0.8556500993203908,0.9998719409904083
9,1,9.385686405973544,1.6147028789275986,0.9998940487164002
17,1,7.620737910932339,-1.7649484950412049,0.9999384498310168
28,1,9.667671542973146,2.0469336320408065,0.9999571823105853
32,1,3.4091344790482943,-6.258537063924852,0.9999603652494703
39,1,6.790800513285575,3.3816660342372806,0.9999647735821996
49,1,9.673834103010698,2.883033589725123,0.9999698220102162
59,1,9.110148686396023,-0.5636854166146748,0.9999732217573222
62,1,1.12338620528255,-7.986762481113473,0.9999727851515787
69,1,6.241435688508666,5.118049483226116,0.9999740467590891
77,1,6.858896588694307,0.617460900185641,0.9999753685640651
83,1,6.129904114043157,-0.7289924746511502,0.9999760854228695
94,1,9.621447761120038,3.491543647076881,0.9999777445712651
98,1,2.6080170039620185,-7.0134307571580194,0.9999776898894636
